---,QuestionId,Image,StageName,RealName,Aliases,GroupName,Generation,Category,PoolTags,bEnabled
BJ_001,BJ_001,Texture2D'/Game/IdolQuiz/Images/BJ/T_BJ_001.T_BJ_001',감스트,,,BJ,0,BJ,BJ,True
BJ_002,BJ_002,Texture2D'/Game/IdolQuiz/Images/BJ/T_BJ_002.T_BJ_002',강만식,,,BJ,0,BJ,BJ,True
BJ_003,BJ_003,Texture2D'/Game/IdolQuiz/Images/BJ/T_BJ_003.T_BJ_003',걸뽀,,,BJ,0,BJ,BJ,True
BJ_004,BJ_004,Texture2D'/Game/IdolQuiz/Images/BJ/T_BJ_004.T_BJ_004',고라니율,,,BJ,0,BJ,BJ,True
BJ_005,BJ_005,Texture2D'/Game/IdolQuiz/Images/BJ/T_BJ_005.T_BJ_005',공혁준,,,BJ,0,BJ,BJ,True
BJ_006,BJ_006,Texture2D'/Game/IdolQuiz/Images/BJ/T_BJ_006.T_BJ_006',과로사,,,BJ,0,BJ,BJ,True
BJ_007,BJ_007,Texture2D'/Game/IdolQuiz/Images/BJ/T_BJ_007.T_BJ_007',괴물쥐,,,BJ,0,BJ,BJ,True
BJ_008,BJ_008,Texture2D'/Game/IdolQuiz/Images/BJ/T_BJ_008.T_BJ_008',기뉴다,,,BJ,0,BJ,BJ,True
BJ_009,BJ_009,Texture2D'/Game/IdolQuiz/Images/BJ/T_BJ_009.T_BJ_009',기룡이,,,BJ,0,BJ,BJ,True
BJ_010,BJ_010,Texture2D'/Game/IdolQuiz/Images/BJ/T_BJ_010.T_BJ_010',김레인,,,BJ,0,BJ,BJ,True
BJ_011,BJ_011,Texture2D'/Game/IdolQuiz/Images/BJ/T_BJ_011.T_BJ_011',김민교,,,BJ,0,BJ,BJ,True
BJ_012,BJ_012,Texture2D'/Game/IdolQuiz/Images/BJ/T_BJ_012.T_BJ_012',김봉준,,,BJ,0,BJ,BJ,True
BJ_013,BJ_013,Texture2D'/Game/IdolQuiz/Images/BJ/T_BJ_013.T_BJ_013',김윤환,,,BJ,0,BJ,BJ,True
BJ_014,BJ_014,Texture2D'/Game/IdolQuiz/Images/BJ/T_BJ_014.T_BJ_014',김인호,,,BJ,0,BJ,BJ,True
BJ_015,BJ_015,Texture2D'/Game/IdolQuiz/Images/BJ/T_BJ_015.T_BJ_015',김택용,,,BJ,0,BJ,BJ,True
BJ_016,BJ_016,Texture2D'/Game/IdolQuiz/Images/BJ/T_BJ_016.T_BJ_016',깨박이,,,BJ,0,BJ,BJ,True
BJ_017,BJ_017,Texture2D'/Game/IdolQuiz/Images/BJ/T_BJ_017.T_BJ_017',꾸티뉴,,,BJ,0,BJ,BJ,True
