Name,QuestionId,Image,StageName,RealName,Aliases,GroupName,Generation,Category,bEnabled
IDOL3_001,IDOL3_001,"Texture2D'/Game/IdolQuiz/Images/Generation3/T_IDOL3_001.T_IDOL3_001'",류진,신류진,,ITZY,3,Idol,true
IDOL3_002,IDOL3_002,"Texture2D'/Game/IdolQuiz/Images/Generation3/T_IDOL3_002.T_IDOL3_002'",리아,최지수,,ITZY,3,Idol,true
IDOL3_003,IDOL3_003,"Texture2D'/Game/IdolQuiz/Images/Generation3/T_IDOL3_003.T_IDOL3_003'",예지,황예지,,ITZY,3,Idol,true
IDOL3_004,IDOL3_004,"Texture2D'/Game/IdolQuiz/Images/Generation3/T_IDOL3_004.T_IDOL3_004'",유나,신유나,,ITZY,3,Idol,true
IDOL3_005,IDOL3_005,"Texture2D'/Game/IdolQuiz/Images/Generation3/T_IDOL3_005.T_IDOL3_005'",채령,이채령,,ITZY,3,Idol,true
IDOL3_006,IDOL3_006,"Texture2D'/Game/IdolQuiz/Images/Generation3/T_IDOL3_006.T_IDOL3_006'",미주,이승아,이미주,그외,3,Idol,true
IDOL3_007,IDOL3_007,"Texture2D'/Game/IdolQuiz/Images/Generation3/T_IDOL3_007.T_IDOL3_007'",연우,이다빈,,그외,3,Idol,true
IDOL3_008,IDOL3_008,"Texture2D'/Game/IdolQuiz/Images/Generation3/T_IDOL3_008.T_IDOL3_008'",이나은,이나은,,그외,3,Idol,true
IDOL3_009,IDOL3_009,"Texture2D'/Game/IdolQuiz/Images/Generation3/T_IDOL3_009.T_IDOL3_009'",츄,김지우,,그외,3,Idol,true
IDOL3_010,IDOL3_010,"Texture2D'/Game/IdolQuiz/Images/Generation3/T_IDOL3_010.T_IDOL3_010'",슬기,강슬기,,레드벨벳,3,Idol,true
IDOL3_011,IDOL3_011,"Texture2D'/Game/IdolQuiz/Images/Generation3/T_IDOL3_011.T_IDOL3_011'",아이린,배주현,,레드벨벳,3,Idol,true
IDOL3_012,IDOL3_012,"Texture2D'/Game/IdolQuiz/Images/Generation3/T_IDOL3_012.T_IDOL3_012'",예리,김예림,,레드벨벳,3,Idol,true
IDOL3_013,IDOL3_013,"Texture2D'/Game/IdolQuiz/Images/Generation3/T_IDOL3_013.T_IDOL3_013'",웬디,손승완,,레드벨벳,3,Idol,true
IDOL3_014,IDOL3_014,"Texture2D'/Game/IdolQuiz/Images/Generation3/T_IDOL3_014.T_IDOL3_014'",조이,박수영,,레드벨벳,3,Idol,true
IDOL3_015,IDOL3_015,"Texture2D'/Game/IdolQuiz/Images/Generation3/T_IDOL3_015.T_IDOL3_015'",문별,문별이,,마마무,3,Idol,true
