---,QuestionId,Image,StageName,RealName,Aliases,GroupName,Generation,Category,PoolTags,bEnabled
KBO_001,KBO_001,Texture2D'/Game/IdolQuiz/Images/KBO2025/T_KBO_001.T_KBO_001',김도영,,김도영 (KIA 타이거즈),KBO2025,0,KBOPlayer,KBOPlayer,True
KBO_002,KBO_002,Texture2D'/Game/IdolQuiz/Images/KBO2025/T_KBO_002.T_KBO_002',문동주,,문동주 (한화 이글스),KBO2025,0,KBOPlayer,KBOPlayer,True
KBO_003,KBO_003,Texture2D'/Game/IdolQuiz/Images/KBO2025/T_KBO_003.T_KBO_003',구자욱,,구자욱 (삼성 라이온즈),KBO2025,0,KBOPlayer,KBOPlayer,True
KBO_004,KBO_004,Texture2D'/Game/IdolQuiz/Images/KBO2025/T_KBO_004.T_KBO_004',문현빈,,문현빈 (한화 이글스),KBO2025,0,KBOPlayer,KBOPlayer,True
KBO_005,KBO_005,Texture2D'/Game/IdolQuiz/Images/KBO2025/T_KBO_005.T_KBO_005',류현진,,류현진 (한화 이글스),KBO2025,0,KBOPlayer,KBOPlayer,True
KBO_006,KBO_006,Texture2D'/Game/IdolQuiz/Images/KBO2025/T_KBO_006.T_KBO_006',윤동희,,윤동희 (롯데 자이언츠),KBO2025,0,KBOPlayer,KBOPlayer,True
KBO_007,KBO_007,Texture2D'/Game/IdolQuiz/Images/KBO2025/T_KBO_007.T_KBO_007',이호성,,이호성 (삼성 라이온즈),KBO2025,0,KBOPlayer,KBOPlayer,True
KBO_008,KBO_008,Texture2D'/Game/IdolQuiz/Images/KBO2025/T_KBO_008.T_KBO_008',원태인,,원태인 (삼성 라이온즈),KBO2025,0,KBOPlayer,KBOPlayer,True
KBO_009,KBO_009,Texture2D'/Game/IdolQuiz/Images/KBO2025/T_KBO_009.T_KBO_009',이재현,,이재현 (삼성 라이온즈),KBO2025,0,KBOPlayer,KBOPlayer,True
KBO_010,KBO_010,Texture2D'/Game/IdolQuiz/Images/KBO2025/T_KBO_010.T_KBO_010',오승환,,오승환 (삼성 라이온즈),KBO2025,0,KBOPlayer,KBOPlayer,True
KBO_011,KBO_011,Texture2D'/Game/IdolQuiz/Images/KBO2025/T_KBO_011.T_KBO_011',박해민,,박해민 (LG 트윈스),KBO2025,0,KBOPlayer,KBOPlayer,True
