---,QuestionId,Image,StageName,RealName,Aliases,GroupName,Generation,Category,PoolTags,bEnabled
MC_001,MC_001,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_001.T_MC_001',유재석,,,MC,0,MC,MC,True
MC_002,MC_002,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_002.T_MC_002',강호동,,,MC,0,MC,MC,True
MC_003,MC_003,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_003.T_MC_003',신동엽,,,MC,0,MC,MC,True
MC_004,MC_004,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_004.T_MC_004',김성주,,,MC,0,MC,MC,True
MC_006,MC_006,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_006.T_MC_006',이영자,,,MC,0,MC,MC,True
MC_007,MC_007,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_007.T_MC_007',정형돈,,,MC,0,MC,MC,True
MC_008,MC_008,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_008.T_MC_008',이경규,,,MC,0,MC,MC,True
MC_009,MC_009,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_009.T_MC_009',송해,,,MC,0,MC,MC,True
MC_010,MC_010,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_010.T_MC_010',이승기,,,MC,0,MC,MC,True
MC_011,MC_011,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_011.T_MC_011',김구라,,,MC,0,MC,MC,True
MC_012,MC_012,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_012.T_MC_012',장성규,,,MC,0,MC,MC,True
MC_013,MC_013,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_013.T_MC_013',김용만,,,MC,0,MC,MC,True
MC_014,MC_014,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_014.T_MC_014',전현무,,,MC,0,MC,MC,True
MC_015,MC_015,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_015.T_MC_015',김국진,,,MC,0,MC,MC,True
MC_016,MC_016,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_016.T_MC_016',박명수,,,MC,0,MC,MC,True
MC_017,MC_017,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_017.T_MC_017',붐,,,MC,0,MC,MC,True
MC_018,MC_018,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_018.T_MC_018',유희열,,,MC,0,MC,MC,True
MC_019,MC_019,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_019.T_MC_019',윤종신,,,MC,0,MC,MC,True
MC_020,MC_020,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_020.T_MC_020',노홍철,,,MC,0,MC,MC,True
MC_021,MC_021,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_021.T_MC_021',송은이,,,MC,0,MC,MC,True
MC_022,MC_022,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_022.T_MC_022',김숙,,,MC,0,MC,MC,True
MC_023,MC_023,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_023.T_MC_023',이수근,,,MC,0,MC,MC,True
MC_024,MC_024,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_024.T_MC_024',남희석,,,MC,0,MC,MC,True
MC_025,MC_025,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_025.T_MC_025',정준하,,,MC,0,MC,MC,True
MC_026,MC_026,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_026.T_MC_026',박미선,,,MC,0,MC,MC,True
MC_027,MC_027,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_027.T_MC_027',김신영,,,MC,0,MC,MC,True
MC_028,MC_028,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_028.T_MC_028',박소현,,,MC,0,MC,MC,True
MC_032,MC_032,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_032.T_MC_032',박나래,,,MC,0,MC,MC,True
MC_033,MC_033,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_033.T_MC_033',박수홍,,,MC,0,MC,MC,True
MC_034,MC_034,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_034.T_MC_034',김희철,,,MC,0,MC,MC,True
MC_035,MC_035,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_035.T_MC_035',김준현,,,MC,0,MC,MC,True
MC_036,MC_036,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_036.T_MC_036',이휘재,,,MC,0,MC,MC,True
MC_038,MC_038,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_038.T_MC_038',윤도현,,,MC,0,MC,MC,True
MC_040,MC_040,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_040.T_MC_040',은지원,,,MC,0,MC,MC,True
MC_041,MC_041,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_041.T_MC_041',이상민,,,MC,0,MC,MC,True
MC_044,MC_044,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_044.T_MC_044',조우종,,,MC,0,MC,MC,True
MC_046,MC_046,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_046.T_MC_046',박보검,,,MC,0,MC,MC,True
MC_051,MC_051,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_051.T_MC_051',김수용,,,MC,0,MC,MC,True
MC_054,MC_054,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_054.T_MC_054',신봉선,,,MC,0,MC,MC,True
MC_061,MC_061,Texture2D'/Game/IdolQuiz/Images/MC/T_MC_061.T_MC_061',현영,,,MC,0,MC,MC,True
