---,QuestionId,Image,StageName,RealName,Aliases,GroupName,Generation,Category,PoolTags,bEnabled
ONEPIECE_001,ONEPIECE_001,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_001.T_ONEPIECE_001',카이도,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_002,ONEPIECE_002,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_002.T_ONEPIECE_002',벨로 베티,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_003,ONEPIECE_003,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_003.T_ONEPIECE_003',맥가이,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_004,ONEPIECE_004,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_004.T_ONEPIECE_004',알라딘,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_005,ONEPIECE_005,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_005.T_ONEPIECE_005',S스네이크,,스네이크,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_006,ONEPIECE_006,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_006.T_ONEPIECE_006',홀덤,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_007,ONEPIECE_007,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_007.T_ONEPIECE_007',블렌하임,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_008,ONEPIECE_008,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_008.T_ONEPIECE_008',몰리,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_009,ONEPIECE_009,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_009.T_ONEPIECE_009',블루그래스,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_010,ONEPIECE_010,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_010.T_ONEPIECE_010',제오,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_011,ONEPIECE_011,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_011.T_ONEPIECE_011',한냐발,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_012,ONEPIECE_012,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_012.T_ONEPIECE_012',앤,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_013,ONEPIECE_013,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_013.T_ONEPIECE_013',트라팔가 D 워텔 로우,,트라팔가 디 워텔 로우,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_014,ONEPIECE_014,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_014.T_ONEPIECE_014',야솝,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_015,ONEPIECE_015,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_015.T_ONEPIECE_015',프랑키,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_016,ONEPIECE_016,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_016.T_ONEPIECE_016',샬롯 링링,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_017,ONEPIECE_017,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_017.T_ONEPIECE_017',쿠잔,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_018,ONEPIECE_018,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_018.T_ONEPIECE_018',킨에몬,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_019,ONEPIECE_019,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_019.T_ONEPIECE_019',셰퍼드 주 피터 성,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_020,ONEPIECE_020,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_020.T_ONEPIECE_020',우루지,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_021,ONEPIECE_021,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_021.T_ONEPIECE_021',마리안느,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_022,ONEPIECE_022,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_022.T_ONEPIECE_022',Dr 인디고,,닥터 인디고,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_023,ONEPIECE_023,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_023.T_ONEPIECE_023',갤디노,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_024,ONEPIECE_024,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_024.T_ONEPIECE_024',자라,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_025,ONEPIECE_025,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_025.T_ONEPIECE_025',몽키 D 드래곤,,몽키 디 드래곤,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_026,ONEPIECE_026,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_026.T_ONEPIECE_026',하이루딘,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_027,ONEPIECE_027,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_027.T_ONEPIECE_027',버기,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_028,ONEPIECE_028,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_028.T_ONEPIECE_028',라오 G,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_029,ONEPIECE_029,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_029.T_ONEPIECE_029',퀸,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_030,ONEPIECE_030,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_030.T_ONEPIECE_030',오이모,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_031,ONEPIECE_031,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_031.T_ONEPIECE_031',스코퍼 가반,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_032,ONEPIECE_032,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_032.T_ONEPIECE_032',사이,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_033,ONEPIECE_033,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_033.T_ONEPIECE_033',몽키 D 루피,,몽키 디 루피,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_034,ONEPIECE_034,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_034.T_ONEPIECE_034',에넬,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_035,ONEPIECE_035,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_035.T_ONEPIECE_035',S샤크,,샤크,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_036,ONEPIECE_036,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_036.T_ONEPIECE_036',보아 썬더소니아,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_037,ONEPIECE_037,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_037.T_ONEPIECE_037',글라디우스,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_038,ONEPIECE_038,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_038.T_ONEPIECE_038',반 오거,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_039,ONEPIECE_039,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_039.T_ONEPIECE_039',네코마무시,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_040,ONEPIECE_040,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_040.T_ONEPIECE_040',제파,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_041,ONEPIECE_041,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_041.T_ONEPIECE_041',브로기,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_042,ONEPIECE_042,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_042.T_ONEPIECE_042',디아만테,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_043,ONEPIECE_043,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_043.T_ONEPIECE_043',바스티유,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_044,ONEPIECE_044,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_044.T_ONEPIECE_044',블랙 마리아,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_045,ONEPIECE_045,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_045.T_ONEPIECE_045',스튜시,,,OnePiece,0,OnePiece,OnePiece,True
ONEPIECE_046,ONEPIECE_046,Texture2D'/Game/IdolQuiz/Images/OnePiece/T_ONEPIECE_046.T_ONEPIECE_046',돌,,,OnePiece,0,OnePiece,OnePiece,True
