target_time_seconds,duration_seconds,lane_index,role,strength
2.4033,0.0000,3,music,3.9519
2.8096,0.0000,1,vocals,0.5994
3.0070,0.0000,2,vocals,0.1362
3.1695,0.0000,3,vocals,0.1798
3.5527,0.0000,1,music,4.5416
3.7384,0.0000,2,vocals,0.4596
3.8313,0.0000,0,drums,0.0246
3.9126,0.0000,2,vocals,0.1326
4.0171,0.0000,4,vocals,0.1301
4.1215,0.0000,1,vocals,0.0916
4.2376,0.0000,2,vocals,0.4968
4.5743,0.0000,4,music,2.8820
4.7601,0.0000,1,vocals,0.1051
4.9226,0.0000,0,music,3.6260
5.0968,0.0000,2,vocals,0.1953
5.2709,0.0000,3,vocals,0.1944
5.4567,0.0000,2,vocals,0.7941
5.5263,0.0000,4,drums,0.0399
5.6308,0.0000,0,vocals,0.2366
5.8050,0.0000,2,vocals,1.0447
6.0140,0.0000,4,vocals,1.2965
6.0836,0.0000,1,drums,0.6849
6.1997,0.0000,3,drums,0.2760
6.3158,0.0000,0,drums,0.7868
6.4203,0.0000,4,drums,0.0254
6.5364,0.0000,2,drums,0.7005
6.7686,0.0000,0,drums,0.5609
6.8963,0.0000,4,drums,0.1003
6.9892,0.0000,1,drums,0.8325
7.0937,0.0000,2,vocals,0.1580
7.2214,0.0000,3,drums,0.6706
7.3723,0.0000,1,vocals,0.1179
7.4536,0.0000,0,drums,0.8306
7.5813,0.0000,4,drums,0.3425
7.6858,0.0000,2,drums,0.8546
7.7903,0.0000,4,vocals,0.6749
7.8948,0.0000,0,drums,1.5263
7.9644,0.0000,3,vocals,0.6817
8.0457,0.0000,4,drums,0.1331
8.2547,0.0000,2,vocals,2.2469
8.4056,0.0000,0,vocals,0.6931
8.5101,0.0000,1,drums,0.0288
8.6146,0.0000,2,vocals,1.9412
8.7771,0.0000,3,drums,1.0143
8.8700,0.0000,4,vocals,0.3015
8.9745,0.0000,0,drums,0.0391
9.0442,0.0000,2,vocals,0.2774
9.1487,0.0000,1,vocals,0.7366
9.2764,0.0000,2,vocals,2.4515
9.4157,0.0000,3,vocals,0.6295
9.5202,0.0000,2,vocals,2.1418
9.7524,0.0000,0,vocals,0.9322
9.8685,0.0000,2,vocals,2.3045
9.9962,0.0000,4,vocals,1.1128
10.0891,0.0000,2,vocals,2.4243
10.1820,0.0000,4,drums,1.7388
10.3445,0.0000,1,vocals,0.1362
10.4606,0.0000,2,vocals,0.4616
10.6115,0.0000,4,drums,0.9986
10.7857,0.0000,3,vocals,0.1186
10.9134,0.0000,2,vocals,0.2526
11.0063,0.0000,0,vocals,0.5142
11.1224,0.0000,2,vocals,1.1287
11.2268,0.0000,4,vocals,2.0024
11.3778,0.0000,2,vocals,0.7931
11.5635,0.0000,0,drums,2.6471
11.7145,0.0000,1,vocals,0.2272
11.8306,0.0000,2,vocals,0.7806
11.9467,0.0000,3,vocals,0.6922
12.0628,0.0000,2,vocals,0.8433
12.2253,0.0000,0,vocals,1.4500
12.4459,0.0000,4,drums,1.2506
12.7245,0.0000,2,vocals,0.1121
12.9335,0.0000,1,drums,1.4176
13.0032,0.0000,4,vocals,0.4735
13.0728,0.0000,3,drums,0.1343
13.1889,0.0000,2,vocals,1.2243
13.3283,0.0000,1,vocals,1.8396
13.4327,0.0000,2,vocals,0.8340
13.5721,0.0000,3,vocals,1.5171
13.6649,0.0000,2,vocals,0.8083
13.8507,0.0000,0,drums,2.3312
14.0016,0.0000,4,drums,0.0467
14.1061,0.0000,0,vocals,1.5612
14.2222,0.0000,2,vocals,0.1936
14.3151,0.0000,4,drums,0.8337
14.4660,0.0000,0,drums,0.6003
14.5473,0.0000,4,vocals,0.0969
14.6286,0.0000,1,drums,0.0326
14.7795,0.0000,3,drums,0.9818
14.9537,0.0000,0,drums,0.8471
15.0814,0.0000,2,drums,0.0276
15.2555,0.0000,4,vocals,0.5220
15.3948,0.0000,1,vocals,0.1732
15.5458,0.0000,2,vocals,0.1366
15.6967,0.0000,3,vocals,1.0010
15.8360,0.0000,2,vocals,0.7265
15.9637,0.0000,4,drums,0.0635
16.1146,0.0000,2,drums,0.7853
16.3352,0.0000,0,drums,0.0651
16.4513,0.0000,4,drums,0.0293
16.6023,0.0000,1,drums,2.0185
16.7880,0.0000,0,vocals,0.2329
16.9157,0.0000,2,vocals,0.1132
