target_time_seconds,duration_seconds,lane_index,role,strength
2.3336,0.0000,0,drums,0.1082
2.5078,0.0000,4,drums,0.0112
2.6935,0.0000,1,drums,0.0163
2.7864,0.0000,3,vocals,0.3419
3.0186,0.0000,0,drums,0.0873
3.2392,0.0000,2,vocals,0.3278
3.3785,0.0000,0,drums,0.0277
3.4946,0.0000,4,drums,0.0120
3.6920,0.0000,3,vocals,0.3433
3.9242,0.0000,2,vocals,0.2442
4.0751,0.0000,4,drums,0.0156
4.2028,0.0000,0,drums,0.0239
4.3537,0.0000,4,drums,0.0126
4.6208,0.0000,0,vocals,0.3602
4.8994,0.0000,1,drums,0.0561
5.0968,0.0000,2,vocals,0.2971
5.5380,0.0000,4,vocals,0.3739
5.9211,0.0000,2,vocals,0.4290
6.0256,0.0000,3,drums,0.1033
6.3855,0.0000,0,drums,0.0136
6.4784,0.0000,1,vocals,0.3461
6.7106,0.0000,4,drums,0.0520
6.8499,0.0000,2,drums,0.0129
6.9312,0.0000,4,vocals,0.2995
7.0705,0.0000,0,drums,0.0246
7.3723,0.0000,3,vocals,1.9725
7.4768,0.0000,4,drums,0.0156
7.6045,0.0000,2,vocals,0.8814
7.6974,0.0000,1,drums,0.0164
7.8367,0.0000,0,vocals,0.5280
7.9877,0.0000,2,vocals,0.1756
8.1618,0.0000,4,vocals,1.7496
8.3244,0.0000,2,vocals,0.2555
8.5333,0.0000,1,vocals,0.1254
8.6146,0.0000,3,drums,0.0146
8.7888,0.0000,2,vocals,1.5803
8.8816,0.0000,0,drums,0.0240
8.9513,0.0000,3,vocals,1.4950
9.1719,0.0000,2,vocals,0.9562
9.3460,0.0000,0,vocals,0.1557
9.4505,0.0000,2,vocals,1.0263
9.5550,0.0000,4,vocals,0.1895
9.6827,0.0000,2,vocals,1.0041
9.9962,0.0000,1,vocals,0.1424
10.1123,0.0000,2,vocals,2.9736
10.2980,0.0000,3,vocals,0.2100
10.4722,0.0000,2,vocals,1.3214
10.6115,0.0000,0,vocals,0.7072
10.7624,0.0000,4,drums,0.0279
10.8902,0.0000,2,vocals,0.9380
11.0063,0.0000,4,vocals,0.9999
11.2385,0.0000,2,vocals,0.6632
11.3546,0.0000,1,vocals,0.1343
11.5287,0.0000,2,drums,0.4986
11.6680,0.0000,0,drums,0.0620
11.7493,0.0000,2,vocals,0.3296
11.9815,0.0000,3,vocals,0.3083
12.0860,0.0000,4,drums,0.0129
12.1673,0.0000,2,vocals,0.1686
12.2834,0.0000,1,drums,0.0131
12.4575,0.0000,3,drums,0.6027
12.6665,0.0000,0,vocals,0.6460
12.7710,0.0000,2,vocals,0.1549
12.9335,0.0000,4,vocals,1.4191
13.1425,0.0000,2,vocals,0.5998
13.3747,0.0000,1,vocals,0.4856
13.6069,0.0000,0,drums,0.6718
13.7230,0.0000,2,vocals,0.1930
13.8391,0.0000,4,drums,0.5215
13.9436,0.0000,2,drums,0.0209
14.0713,0.0000,0,drums,0.3769
14.2454,0.0000,3,vocals,1.6158
14.4312,0.0000,2,vocals,0.1670
14.5241,0.0000,4,drums,0.3327
14.7098,0.0000,0,vocals,0.7132
14.9885,0.0000,2,vocals,0.4606
15.2207,0.0000,1,drums,0.6792
15.3600,0.0000,3,drums,0.0297
15.4529,0.0000,4,vocals,0.2957
15.5341,0.0000,0,drums,0.0193
15.6386,0.0000,2,vocals,1.1694
15.8244,0.0000,1,vocals,0.1399
15.9405,0.0000,2,vocals,0.2336
16.1495,0.0000,4,drums,0.5906
16.3468,0.0000,3,vocals,1.4675
16.4978,0.0000,2,drums,0.0331
16.6023,0.0000,4,vocals,1.0446
16.7996,0.0000,0,vocals,0.3006
16.9390,0.0000,2,vocals,0.2699
17.0667,0.0000,4,vocals,0.4950
17.2989,0.0000,2,vocals,0.1673
17.4498,0.0000,1,vocals,0.2199
17.5659,0.0000,2,vocals,0.3282
17.6704,0.0000,3,vocals,0.2934
17.8794,0.0000,2,vocals,0.1941
17.9955,0.0000,0,vocals,0.8226
18.1464,0.0000,2,vocals,0.1576
18.2625,0.0000,4,vocals,0.1716
18.4947,0.0000,2,vocals,0.8427
18.6921,0.0000,1,vocals,2.0445
18.9010,0.0000,2,vocals,1.8347
19.0288,0.0000,3,vocals,0.1831
19.1449,0.0000,2,vocals,0.1907
19.2377,0.0000,0,vocals,0.1908
19.3887,0.0000,2,vocals,0.2142
19.4583,0.0000,0,drums,0.0108
19.6209,0.0000,4,vocals,0.1721
19.8415,0.0000,1,drums,0.5335
19.9343,0.0000,2,vocals,0.8774
20.1085,0.0000,1,vocals,0.1819
20.2710,0.0000,2,vocals,0.8629
20.4916,0.0000,3,vocals,2.4754
20.6077,0.0000,2,vocals,0.4590
20.7122,0.0000,0,vocals,0.1584
20.9908,0.0000,1,drums,0.6428
21.1766,0.0000,2,vocals,1.7855
21.4552,0.0000,3,drums,0.3305
21.6178,0.0000,4,vocals,1.5424
21.7339,0.0000,2,vocals,0.1310
21.8500,0.0000,0,drums,0.0115
21.9429,0.0000,1,vocals,0.2287
22.1634,0.0000,2,vocals,0.4750
22.3492,0.0000,3,vocals,0.2392
22.4653,0.0000,2,vocals,0.1613
22.6046,0.0000,0,vocals,1.8677
22.7091,0.0000,2,vocals,0.2365
22.8484,0.0000,4,vocals,1.2744
22.9529,0.0000,1,drums,0.9942
23.1039,0.0000,2,vocals,0.3399
23.2896,0.0000,4,drums,1.0770
23.4289,0.0000,0,drums,0.0596
23.5218,0.0000,1,vocals,2.2639
23.6495,0.0000,2,vocals,0.4685
23.7888,0.0000,3,vocals,0.2300
23.9514,0.0000,2,vocals,0.2562
24.1371,0.0000,0,vocals,0.2826
24.2649,0.0000,2,vocals,0.1593
24.4506,0.0000,4,drums,0.8577
24.5783,0.0000,1,drums,0.0554
24.6944,0.0000,4,vocals,1.0372
24.7873,0.0000,3,drums,0.8928
25.0311,0.0000,2,vocals,1.3398
25.1356,0.0000,0,drums,0.8983
25.2517,0.0000,1,vocals,0.2606
25.3794,0.0000,2,vocals,0.8855
25.4839,0.0000,3,vocals,0.3510
25.5536,0.0000,4,drums,0.0761
25.7161,0.0000,2,drums,0.8447
25.8090,0.0000,4,vocals,2.4695
25.9135,0.0000,0,drums,0.0970
26.0644,0.0000,4,drums,0.6560
26.1341,0.0000,0,vocals,0.2712
26.2618,0.0000,2,vocals,1.1313
26.4475,0.0000,4,vocals,0.2583
26.6449,0.0000,1,drums,0.9408
26.7146,0.0000,2,vocals,0.1861
26.8539,0.0000,1,vocals,0.3939
26.9932,0.0000,3,drums,0.8395
27.1441,0.0000,2,vocals,0.1815
27.2370,0.0000,3,vocals,1.6803
27.3531,0.0000,2,vocals,0.3829
27.5737,0.0000,0,vocals,0.3722
27.8407,0.0000,2,vocals,0.2266
27.9568,0.0000,4,vocals,0.3723
28.0497,0.0000,2,vocals,0.6457
28.1426,0.0000,0,drums,0.9311
28.2355,0.0000,1,vocals,0.3404
28.3516,0.0000,2,vocals,1.4207
28.4909,0.0000,4,drums,0.8876
28.6418,0.0000,3,vocals,0.2888
28.8160,0.0000,2,vocals,0.7298
28.9901,0.0000,4,drums,0.0879
29.0830,0.0000,0,vocals,0.5494
29.2223,0.0000,2,drums,0.0494
29.2920,0.0000,4,vocals,0.3160
29.4197,0.0000,1,drums,0.6932
29.5010,0.0000,4,vocals,1.7354
29.7680,0.0000,1,drums,0.5259
29.8376,0.0000,2,vocals,0.1452
29.9886,0.0000,3,drums,1.3245
30.1047,0.0000,0,drums,0.0717
30.1743,0.0000,1,vocals,0.1635
30.2556,0.0000,4,drums,0.0723
30.3369,0.0000,2,vocals,0.7074
30.4530,0.0000,4,drums,0.6968
30.5807,0.0000,3,vocals,0.4972
30.6852,0.0000,0,drums,0.0925
30.9174,0.0000,2,vocals,0.7678
31.0683,0.0000,0,vocals,0.2609
31.1612,0.0000,4,drums,0.0762
31.2657,0.0000,1,drums,0.0614
31.3702,0.0000,3,drums,0.8730
31.4398,0.0000,2,vocals,0.2026
31.6024,0.0000,0,drums,0.7207
31.7185,0.0000,4,drums,0.0256
31.7881,0.0000,1,vocals,1.2804
31.9623,0.0000,2,vocals,0.5534
32.0668,0.0000,4,drums,0.6103
32.1829,0.0000,1,vocals,0.8003
32.2873,0.0000,0,drums,1.5432
32.4847,0.0000,2,vocals,0.4241
32.6356,0.0000,3,vocals,0.2989
32.7517,0.0000,4,drums,1.3089
32.8446,0.0000,2,vocals,0.4711
32.9607,0.0000,0,vocals,0.6670
33.0536,0.0000,1,drums,0.0378
33.1233,0.0000,2,vocals,0.7829
33.2394,0.0000,4,vocals,0.4135
33.4600,0.0000,2,vocals,0.1684
33.6689,0.0000,3,drums,1.7339
33.8083,0.0000,1,vocals,0.1782
33.9244,0.0000,2,vocals,0.3758
34.0405,0.0000,0,drums,0.0179
34.1449,0.0000,4,drums,0.6570
34.2610,0.0000,3,vocals,0.5970
34.3539,0.0000,2,vocals,1.0215
34.6093,0.0000,4,drums,1.2791
34.7022,0.0000,0,vocals,0.4115
34.8532,0.0000,2,drums,0.1219
34.9344,0.0000,4,vocals,0.8122
35.0621,0.0000,1,vocals,0.9838
35.3059,0.0000,2,vocals,1.7573
35.5033,0.0000,1,vocals,0.9138
35.7587,0.0000,4,drums,1.3655
35.8284,0.0000,2,vocals,0.2753
35.9097,0.0000,1,drums,0.0550
35.9793,0.0000,3,vocals,1.4737
36.1186,0.0000,2,vocals,0.1658
36.2347,0.0000,0,vocals,0.5107
36.4437,0.0000,3,drums,0.9705
36.6063,0.0000,2,vocals,1.3046
36.6759,0.0000,0,drums,1.1052
36.8036,0.0000,4,drums,0.1025
36.9081,0.0000,1,vocals,1.1178
37.0126,0.0000,2,vocals,0.1756
37.1403,0.0000,4,drums,1.3101
37.2796,0.0000,0,drums,0.0715
37.3609,0.0000,1,vocals,0.3136
37.7905,0.0000,2,vocals,0.5341
37.8601,0.0000,4,drums,0.0136
37.9646,0.0000,1,drums,0.0238
38.1388,0.0000,3,drums,0.0104
38.2317,0.0000,0,vocals,1.5149
38.4639,0.0000,2,vocals,0.2052
38.7541,0.0000,0,vocals,0.6350
39.0444,0.0000,2,vocals,0.1272
39.1721,0.0000,4,vocals,0.9109
39.2533,0.0000,0,drums,0.0456
39.4275,0.0000,4,drums,0.0133
39.5552,0.0000,2,vocals,0.5629
39.6829,0.0000,1,vocals,1.1721
39.8571,0.0000,2,vocals,0.1161
39.9499,0.0000,4,drums,0.0473
40.1821,0.0000,0,drums,0.0167
40.2750,0.0000,3,vocals,0.2266
40.4492,0.0000,2,vocals,0.1595
40.5769,0.0000,0,vocals,1.8801
40.7278,0.0000,2,vocals,0.1165
40.9136,0.0000,4,vocals,0.3015
41.0413,0.0000,2,vocals,1.3491
41.1341,0.0000,4,drums,0.0242
41.2154,0.0000,1,vocals,0.1396
41.4128,0.0000,2,vocals,0.4109
41.5289,0.0000,1,drums,0.1109
41.6218,0.0000,3,vocals,0.1593
41.7959,0.0000,2,vocals,0.1269
41.8772,0.0000,3,drums,0.0884
41.9817,0.0000,0,vocals,1.0037
42.1094,0.0000,2,drums,0.1039
42.2255,0.0000,4,drums,0.2875
42.3300,0.0000,2,vocals,0.2713
42.4345,0.0000,4,vocals,0.8754
42.5273,0.0000,2,drums,0.0109
42.6783,0.0000,0,drums,0.5718
42.7712,0.0000,2,vocals,0.1611
42.9105,0.0000,1,vocals,0.7555
43.0382,0.0000,4,drums,0.2138
43.1427,0.0000,1,drums,0.7026
43.2588,0.0000,2,vocals,0.1759
43.3749,0.0000,3,drums,0.3795
43.5142,0.0000,0,vocals,0.2734
43.6071,0.0000,2,drums,0.5738
43.7348,0.0000,4,drums,0.2518
43.8277,0.0000,2,vocals,1.8211
43.9670,0.0000,0,vocals,0.3744
44.0715,0.0000,2,drums,0.6472
44.2688,0.0000,4,vocals,0.2658
44.4082,0.0000,1,vocals,0.2334
44.7565,0.0000,0,drums,1.5152
44.8842,0.0000,2,vocals,0.2015
44.9771,0.0000,4,drums,0.0514
45.1048,0.0000,1,drums,0.5088
45.2209,0.0000,3,drums,0.7216
45.4531,0.0000,0,drums,0.4306
45.5692,0.0000,4,drums,0.1187
45.6620,0.0000,1,vocals,0.5047
45.7898,0.0000,2,drums,0.6179
45.9523,0.0000,4,vocals,0.4307
46.0684,0.0000,3,vocals,0.4041
46.1380,0.0000,0,drums,1.4568
46.3702,0.0000,4,drums,0.6131
46.4863,0.0000,1,drums,0.0145
46.6024,0.0000,3,drums,1.1796
46.7302,0.0000,0,drums,0.0364
46.8463,0.0000,2,vocals,0.2366
46.9507,0.0000,4,drums,0.3016
47.0668,0.0000,2,drums,1.1750
47.1597,0.0000,0,vocals,0.1458
47.2990,0.0000,2,drums,0.8020
47.4500,0.0000,4,drums,0.1983
47.5312,0.0000,2,vocals,0.7668
47.6357,0.0000,1,drums,0.5449
47.7518,0.0000,4,vocals,0.2044
47.8679,0.0000,3,drums,0.0554
47.9840,0.0000,0,drums,1.6066
48.1466,0.0000,2,vocals,0.5661
48.2162,0.0000,4,drums,0.6335
48.4484,0.0000,2,drums,1.4162
48.5878,0.0000,1,vocals,0.3617
48.6922,0.0000,2,vocals,0.2107
48.8083,0.0000,3,vocals,0.2458
48.9128,0.0000,0,drums,1.0390
49.0638,0.0000,2,vocals,0.1650
49.1450,0.0000,4,drums,0.7003
49.2611,0.0000,0,vocals,0.2108
49.3540,0.0000,2,vocals,0.3797
49.4817,0.0000,1,drums,0.7174
49.6327,0.0000,3,drums,0.0364
49.7139,0.0000,4,vocals,0.1962
49.8300,0.0000,0,drums,1.6627
50.0390,0.0000,2,vocals,1.2571
50.1783,0.0000,1,vocals,0.3349
50.2944,0.0000,4,drums,1.1748
50.4221,0.0000,2,vocals,0.3300
50.5731,0.0000,3,vocals,0.2359
50.6427,0.0000,2,drums,0.3630
50.7588,0.0000,0,drums,1.1838
50.9098,0.0000,2,vocals,0.1528
50.9910,0.0000,4,drums,0.2668
51.1187,0.0000,0,vocals,0.1811
51.2232,0.0000,2,vocals,1.0758
51.3393,0.0000,1,drums,0.2582
51.4902,0.0000,4,vocals,0.2674
51.5715,0.0000,3,drums,0.0322
51.6760,0.0000,0,drums,0.8870
51.8385,0.0000,2,vocals,0.3796
51.9082,0.0000,4,drums,0.3187
52.1288,0.0000,1,vocals,0.7017
52.2797,0.0000,2,vocals,0.1674
52.4190,0.0000,3,vocals,0.2936
52.4887,0.0000,2,drums,0.3495
52.6048,0.0000,0,drums,0.7915
52.7441,0.0000,4,drums,0.0292
52.8486,0.0000,2,vocals,0.8461
52.9531,0.0000,0,vocals,0.2692
53.0692,0.0000,2,vocals,1.1868
53.1853,0.0000,1,drums,0.3692
53.3014,0.0000,4,vocals,0.2938
53.4059,0.0000,2,vocals,1.5650
53.5220,0.0000,3,drums,1.0308
53.6149,0.0000,1,vocals,0.1441
53.7542,0.0000,2,vocals,0.7871
53.8703,0.0000,0,drums,0.1433
53.9632,0.0000,3,vocals,1.2378
54.1489,0.0000,2,vocals,0.1642
54.2186,0.0000,4,drums,0.0313
54.3347,0.0000,2,drums,0.8270
54.4508,0.0000,0,drums,1.3444
54.5321,0.0000,2,vocals,0.1633
54.6830,0.0000,4,drums,0.7564
54.7991,0.0000,2,vocals,0.3475
54.9152,0.0000,4,vocals,1.2154
55.0197,0.0000,1,drums,0.5123
55.1474,0.0000,2,vocals,0.1819
55.2635,0.0000,3,drums,0.0743
55.3680,0.0000,0,drums,1.5218
55.6002,0.0000,4,drums,0.6994
55.7163,0.0000,2,drums,0.2736
55.8324,0.0000,0,drums,1.5520
55.9717,0.0000,4,drums,0.0389
56.0414,0.0000,1,vocals,0.1640
56.1923,0.0000,2,vocals,0.4118
56.2968,0.0000,1,drums,1.2593
56.3897,0.0000,3,vocals,0.2096
56.5290,0.0000,0,drums,0.7599
56.6451,0.0000,2,vocals,0.2346
56.7960,0.0000,0,vocals,0.3441
56.8657,0.0000,2,drums,0.5182
56.9934,0.0000,4,vocals,0.2539
57.1095,0.0000,1,vocals,0.1790
57.2140,0.0000,4,drums,1.4218
57.3301,0.0000,2,vocals,0.1551
57.4578,0.0000,1,vocals,1.0041
57.5623,0.0000,2,drums,0.1988
57.6900,0.0000,4,vocals,0.6639
57.8177,0.0000,3,vocals,0.3496
57.9222,0.0000,2,vocals,0.2309
58.0267,0.0000,0,drums,0.3523
58.1428,0.0000,4,drums,0.9158
58.2589,0.0000,1,drums,0.0891
58.3866,0.0000,0,vocals,0.3832
58.5259,0.0000,3,drums,0.0752
58.6072,0.0000,2,vocals,0.7535
58.7233,0.0000,0,drums,0.4854
58.8161,0.0000,4,vocals,0.2148
58.9322,0.0000,1,drums,0.0423
59.0600,0.0000,2,drums,0.6501
59.1296,0.0000,4,vocals,0.3386
59.2922,0.0000,0,drums,0.3954
59.5244,0.0000,4,drums,0.8332
59.6869,0.0000,1,drums,0.0323
59.7682,0.0000,3,vocals,0.2070
59.8727,0.0000,0,drums,0.3219
60.0120,0.0000,2,vocals,0.7104
60.1049,0.0000,0,drums,0.0108
60.2210,0.0000,4,drums,0.5619
60.3254,0.0000,3,vocals,0.4103
60.4996,0.0000,2,vocals,0.5003
60.5693,0.0000,4,drums,0.3546
60.6854,0.0000,0,drums,0.0804
60.7898,0.0000,2,vocals,0.3743
60.8943,0.0000,4,drums,0.6446
60.9872,0.0000,2,vocals,0.1363
