target_time_seconds,duration_seconds,lane_index,role,strength
2.3104,0.0000,0,drums,0.0256
2.4845,0.0000,4,drums,0.0172
2.6587,0.0000,1,drums,0.0182
2.7632,0.0000,3,vocals,0.1648
3.1347,0.0000,2,vocals,0.1620
3.2508,0.0000,3,vocals,0.1147
3.3901,0.0000,2,vocals,0.2865
3.6223,0.0000,0,vocals,0.1793
4.0751,0.0000,3,music,0.6136
4.3073,0.0000,0,bass,0.3677
4.5859,0.0000,2,vocals,0.1055
4.7833,0.0000,4,vocals,0.3092
5.0155,0.0000,2,vocals,0.1106
5.1200,0.0000,1,vocals,0.1093
5.2477,0.0000,2,vocals,0.3397
5.4683,0.0000,3,vocals,0.7303
5.9559,0.0000,2,vocals,0.1038
6.1881,0.0000,0,vocals,0.2131
6.3042,0.0000,2,vocals,0.1258
6.4319,0.0000,4,vocals,0.1125
6.6757,0.0000,2,vocals,0.1573
7.0240,0.0000,3,drums,0.0155
7.1169,0.0000,1,vocals,0.1975
7.3143,0.0000,2,vocals,0.7785
7.4304,0.0000,3,vocals,0.5808
7.5813,0.0000,2,vocals,1.4844
7.7322,0.0000,0,drums,0.0171
7.8716,0.0000,2,vocals,0.2848
7.9528,0.0000,4,drums,0.0351
8.0225,0.0000,2,vocals,0.2561
8.1038,0.0000,4,drums,0.0165
8.2547,0.0000,0,drums,0.0139
8.4869,0.0000,4,vocals,0.1136
8.6030,0.0000,1,drums,0.0110
8.7539,0.0000,2,vocals,0.2552
8.9049,0.0000,1,drums,0.0172
9.0210,0.0000,3,vocals,0.1753
9.3576,0.0000,2,vocals,0.1886
9.4854,0.0000,3,vocals,0.2134
9.6943,0.0000,2,vocals,0.4696
9.9265,0.0000,0,vocals,0.1090
10.2168,0.0000,2,vocals,0.1235
10.4025,0.0000,1,music,0.8692
10.6115,0.0000,4,vocals,0.1495
10.8785,0.0000,2,vocals,0.1856
11.2152,0.0000,1,vocals,0.1351
11.3546,0.0000,2,vocals,0.1203
11.5751,0.0000,4,music,0.9977
11.8073,0.0000,0,music,0.5563
12.0512,0.0000,3,vocals,0.5724
12.2834,0.0000,2,vocals,0.1363
12.5156,0.0000,0,vocals,0.1657
12.7710,0.0000,2,vocals,0.1671
12.9800,0.0000,4,music,0.8857
13.4560,0.0000,1,vocals,0.1873
13.6069,0.0000,3,drums,0.0302
13.6882,0.0000,2,vocals,0.3283
13.8043,0.0000,1,vocals,0.4547
13.9204,0.0000,2,vocals,0.5634
14.0132,0.0000,3,vocals,0.1733
14.1642,0.0000,2,vocals,0.4170
14.3499,0.0000,0,vocals,0.1909
14.4776,0.0000,2,vocals,0.1704
14.6286,0.0000,4,vocals,0.1192
14.8143,0.0000,2,vocals,0.2063
15.0349,0.0000,1,vocals,0.5227
15.5574,0.0000,0,drums,0.9606
15.6967,0.0000,4,drums,0.0258
15.7896,0.0000,2,drums,0.8790
15.9289,0.0000,0,drums,0.6439
16.0218,0.0000,4,drums,0.9012
16.1727,0.0000,1,drums,0.0252
16.2656,0.0000,2,vocals,1.1159
16.4978,0.0000,3,vocals,1.0000
16.7300,0.0000,0,drums,0.8747
16.8693,0.0000,2,vocals,0.2211
16.9738,0.0000,0,vocals,1.4362
17.1015,0.0000,2,drums,0.0195
17.1944,0.0000,4,drums,0.4820
17.3801,0.0000,2,vocals,1.1522
17.5427,0.0000,4,vocals,2.6768
17.6704,0.0000,2,drums,0.5205
17.7981,0.0000,4,vocals,0.6352
17.9026,0.0000,1,vocals,1.8869
18.1348,0.0000,0,drums,0.7595
18.2509,0.0000,2,vocals,1.7709
18.3786,0.0000,3,vocals,1.8236
18.5992,0.0000,4,drums,0.7132
18.7501,0.0000,1,drums,0.1662
18.8430,0.0000,3,drums,0.5767
19.0752,0.0000,4,drums,0.4982
19.1681,0.0000,2,vocals,0.8972
19.3074,0.0000,4,drums,0.9169
19.4351,0.0000,0,vocals,1.2056
19.5396,0.0000,2,vocals,1.8476
19.6673,0.0000,4,vocals,1.2519
19.7718,0.0000,0,drums,0.8377
20.0156,0.0000,2,vocals,1.3635
20.1433,0.0000,1,vocals,0.5704
20.2478,0.0000,4,drums,0.9038
20.3871,0.0000,1,drums,0.0825
20.4800,0.0000,2,vocals,3.1667
20.6193,0.0000,3,drums,0.4048
20.7122,0.0000,0,drums,1.0084
20.9444,0.0000,4,drums,0.3413
21.0373,0.0000,3,vocals,0.2057
21.1766,0.0000,2,drums,0.8721
21.4204,0.0000,4,vocals,1.2485
21.5597,0.0000,0,drums,0.1945
21.6526,0.0000,4,drums,0.7289
21.7339,0.0000,0,vocals,0.1351
21.8848,0.0000,2,vocals,2.4702
22.0241,0.0000,4,vocals,0.1434
22.1170,0.0000,1,drums,0.9867
22.1983,0.0000,2,vocals,0.1872
22.2679,0.0000,3,drums,0.1300
22.3376,0.0000,1,vocals,2.7110
22.4653,0.0000,2,vocals,0.1222
22.5930,0.0000,0,drums,0.6421
22.7904,0.0000,3,vocals,0.3193
22.8949,0.0000,2,vocals,0.2364
23.0574,0.0000,0,vocals,1.7080
23.2896,0.0000,4,drums,0.4264
23.3941,0.0000,2,vocals,0.1781
