target_time_seconds,duration_seconds,lane_index,role,strength
2.3684,0.0000,1,vocals,0.1440
2.6819,0.0000,2,vocals,0.8648
2.7864,0.0000,3,vocals,0.3863
2.8909,0.0000,2,vocals,0.3062
3.0534,0.0000,0,drums,0.0443
3.3088,0.0000,2,vocals,0.9238
3.6455,0.0000,4,drums,0.0408
3.7965,0.0000,2,vocals,0.3911
4.0519,0.0000,4,vocals,0.1206
4.3886,0.0000,2,vocals,1.1126
4.4931,0.0000,1,vocals,0.3806
4.5976,0.0000,2,vocals,0.2983
4.7253,0.0000,3,vocals,0.1129
5.0271,0.0000,1,drums,1.0388
5.2245,0.0000,2,vocals,0.1310
5.4451,0.0000,0,vocals,0.7509
5.5496,0.0000,2,vocals,0.2100
5.7005,0.0000,4,vocals,0.2987
5.8514,0.0000,2,vocals,1.0474
5.9907,0.0000,1,vocals,0.1386
6.1533,0.0000,2,vocals,0.1353
6.3623,0.0000,3,vocals,0.6349
6.4900,0.0000,2,vocals,0.1443
6.6061,0.0000,0,vocals,1.4860
6.7686,0.0000,2,vocals,2.2906
7.0356,0.0000,4,vocals,0.1055
7.1517,0.0000,3,drums,0.8103
7.4188,0.0000,2,vocals,0.6990
7.5929,0.0000,0,drums,1.1183
7.6626,0.0000,1,vocals,0.3040
7.8135,0.0000,2,vocals,1.6889
7.9644,0.0000,4,drums,1.3867
8.2199,0.0000,2,drums,0.5925
8.4869,0.0000,3,vocals,0.2922
8.6262,0.0000,2,vocals,1.0481
8.8700,0.0000,0,drums,1.0245
8.9977,0.0000,2,vocals,0.1108
9.0790,0.0000,4,drums,0.8411
9.2996,0.0000,1,drums,1.3365
9.5202,0.0000,2,vocals,1.3682
9.6131,0.0000,4,vocals,0.6856
9.7059,0.0000,3,drums,1.3335
9.9381,0.0000,0,drums,0.4699
10.1239,0.0000,2,vocals,0.2815
10.2284,0.0000,1,vocals,0.7972
10.4025,0.0000,2,vocals,0.9722
10.5883,0.0000,4,drums,1.0564
10.8089,0.0000,2,drums,0.4467
11.0179,0.0000,0,drums,1.2305
11.0991,0.0000,3,vocals,0.5652
11.2385,0.0000,4,drums,1.0201
11.3778,0.0000,2,vocals,1.0150
11.4823,0.0000,0,vocals,0.1846
11.6448,0.0000,1,drums,0.4213
11.9351,0.0000,2,vocals,0.3470
12.0860,0.0000,4,vocals,0.4989
12.2950,0.0000,3,drums,0.9080
12.5156,0.0000,0,drums,1.0048
12.7245,0.0000,4,drums,1.1395
12.9567,0.0000,2,drums,0.8304
13.1309,0.0000,0,drums,1.4810
13.3863,0.0000,2,vocals,0.4564
13.5605,0.0000,1,vocals,0.0962
13.7230,0.0000,2,vocals,0.1178
13.8159,0.0000,4,drums,0.6927
14.0132,0.0000,3,vocals,1.0935
14.1177,0.0000,2,vocals,0.1045
14.2338,0.0000,1,drums,0.8580
14.4428,0.0000,3,drums,1.1601
14.6518,0.0000,0,vocals,1.2314
14.8259,0.0000,2,vocals,1.2566
15.0001,0.0000,4,vocals,0.2051
15.0930,0.0000,0,drums,0.7372
15.3600,0.0000,2,vocals,0.8811
15.5109,0.0000,1,vocals,0.8086
15.6619,0.0000,2,vocals,1.1885
15.7315,0.0000,4,drums,0.9438
15.8244,0.0000,3,vocals,0.1037
15.9405,0.0000,2,vocals,1.4061
16.1611,0.0000,4,drums,1.6105
16.3236,0.0000,0,vocals,0.9608
16.5674,0.0000,2,drums,1.0926
16.7996,0.0000,4,vocals,1.2108
17.0667,0.0000,1,vocals,1.1245
17.2524,0.0000,2,vocals,0.4053
17.4382,0.0000,4,drums,0.9964
17.6704,0.0000,1,drums,0.5488
17.8794,0.0000,3,drums,1.2111
18.0883,0.0000,0,drums,0.9630
18.2509,0.0000,4,drums,1.5682
18.3205,0.0000,1,vocals,0.4306
18.5295,0.0000,2,vocals,0.7445
18.7385,0.0000,4,drums,0.4102
18.9475,0.0000,0,drums,0.8815
19.1565,0.0000,4,drums,1.1470
19.4235,0.0000,3,vocals,0.7120
19.5860,0.0000,1,drums,1.1131
